Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-03-01,19:45 (20:45),League One,Matchweek 24,Tue,Away,L,2,5,Sheffield Weds,42,20309,John Brayford,3-4-1-2,Samuel Barrott,Match Report,
2022-03-05,15:00 (16:00),League One,Matchweek 37,Sat,Away,L,1,4,Oxford United,41,7631,John Brayford,3-4-3,Sam Purkiss,Match Report,
2022-03-12,15:00 (16:00),League One,Matchweek 38,Sat,Home,W,3,2,Fleetwood Town,51,2648,John Brayford,4-2-3-1,Oliver Langford,Match Report,
2022-03-19,15:00 (16:00),League One,Matchweek 39,Sat,Away,L,0,2,Charlton Ath,54,11348,John Brayford,4-2-3-1,Rebecca Welch,Match Report,
2022-04-02,15:00 (16:00),League One,Matchweek 41,Sat,Away,L,0,3,Morecambe,41,5238,John Brayford,4-2-3-1,Ross Joyce,Match Report,
2022-04-09,15:00 (16:00),League One,Matchweek 42,Sat,Home,D,0,0,Plymouth Argyle,48,3938,John Brayford,3-4-1-2,Leigh Doughty,Match Report,
2022-04-12,19:45 (20:45),League One,Matchweek 40,Tue,Home,D,0,0,Wigan Athletic,48,3589,John Brayford,3-4-1-2,Andy Haines,Match Report,
2022-04-15,15:00 (16:00),League One,Matchweek 43,Fri,Away,D,0,0,Acc'ton Stanley,42,2513,John Brayford,3-4-1-2,Oliver Yates,Match Report,
2022-04-19,19:45 (20:45),League One,Matchweek 44,Tue,Home,W,2,0,Rotherham Utd,42,3537,John Brayford,3-4-1-2,Tom Reeves,Match Report,
2022-04-23,15:00 (16:00),League One,Matchweek 45,Sat,Away,L,0,2,Doncaster,54,6034,John Brayford,3-4-1-2,Will Finnie,Match Report,
2022-04-30,12:30 (13:30),League One,Matchweek 46,Sat,Home,L,1,2,Wycombe,52,4440,John Brayford,4-2-3-1,Robert Madley,Match Report,
