Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-03-12,15:00 (16:00),League One,Matchweek 38,Sat,Away,L,0,2,Sunderland,31,30036,Luke Offord,3-5-2,Neil Hair,Match Report,
2022-03-15,19:45 (20:45),League One,Matchweek 24,Tue,Home,L,0,2,Wigan Athletic,49,5310,Luke Offord,3-5-2,Ben Toner,Match Report,
2022-03-19,15:00 (16:00),League One,Matchweek 39,Sat,Home,L,0,1,Bolton,49,5985,Luke Offord,3-5-2,Sam Purkiss,Match Report,
2022-04-02,15:00 (16:00),League One,Matchweek 41,Sat,Home,L,1,3,Fleetwood Town,61,3813,Luke Murphy,3-5-2,Will Finnie,Match Report,
2022-04-05,19:45 (20:45),League One,Matchweek 40,Tue,Away,L,1,2,MK Dons,42,7315,Luke Murphy,3-4-3,Ross Joyce,Match Report,
2022-04-09,15:00 (16:00),League One,Matchweek 42,Sat,Away,L,0,2,Doncaster,51,5912,Luke Offord,3-4-3,Declan Bourne,Match Report,
2022-04-15,15:00 (16:00),League One,Matchweek 43,Fri,Home,W,3,1,AFC Wimbledon,60,4668,Luke Offord,4-2-3-1,David Webb,Match Report,
2022-04-19,19:45 (20:45),League One,Matchweek 44,Tue,Away,L,0,1,Sheffield Weds,39,22566,Luke Offord,4-2-3-1,Charles Breakspear,Match Report,
2022-04-23,15:00 (16:00),League One,Matchweek 45,Sat,Home,D,1,1,Ipswich Town,41,4986,Luke Murphy,4-2-3-1,Simon Mather,Match Report,
2022-04-30,12:30 (13:30),League One,Matchweek 46,Sat,Away,L,1,2,Lincoln City,47,9147,Luke Offord,4-2-3-1,Andrew Kitchen,Match Report,
